Metabolite,´úÐ»Îï,P_value,FDR,VIP_pred_OPLS-DA,VIP_PLS-DA,FC(KA/HA),Log2FC(KA/HA),Significant,Regulate,"KEGG Compound ID","KEGG Compound First Category","KEGG Compound Second Category","KEGG Pathway ID","KEGG Pathway Description","KEGG Pathway First Category","KEGG Pathway Second Category","Library ID","HMDB Superclass","HMDB Class","HMDB Subclass","CAS ID",M/Z,"Retention time",Adducts,Formula,"Fragmentation Score","Theoretical Fragmentation Score","Metab ID",ID,Mode,KA1,KA10,KA11,KA12,KA6,KA8,HA12,HA14,HA16,HA3,HA4,HA6,ka_mean,ka_SD,ha_mean,ha_SD
"Hippuric Acid",ÂíÄòËá,0.1715,0.2956,0.8396,0.8097,0.6105,-0.7119,no,down,C01586,-,-,map01100;map00360,"Metabolic pathways;Phenylalanine metabolism",Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism",HMDB0000714;MJDBOTE0000525,Benzenoids,"Benzene and substituted derivatives","Benzoic acids and derivatives",495-69-2,178.050105925,4.17541666667,M-H,C9H9NO3,41.7,0,metab_7462,neg_2012,neg,63560,33270,73240,174700,64820,52330,159400,54570,174200,102100,57630,208600,,,,
"DG(a-15:0/20:3(5Z,8Z,14Z)-O(11S,12R)/0:0)",-,0.1359,0.2617,0.8391,0.8254,1.3965,0.4818,no,up,-,-,-,-,-,-,-,HMDB0297475,"Not Available","Not Available","Not Available",-,663.452622544,7.29886666667,M+2Na-H,C38H66O6,0,63,metab_2923,pos_3885,pos,2770000,2038000,1666000,1426000,1784000,1688000,929900,1068000,1029000,2628000,1489000,998000,,,,
Daucol,ºúÂÜ²·´¼,0.1748,0.2994,0.8391,0.7537,0.7593,-0.3973,no,down,C09652,-,-,-,-,-,-,HMDB0035287,"Organoheterocyclic compounds",Oxanes,"Not Available",887-08-1,283.191125178,6.28065,M+FA-H,C15H26O2,0,36.1,metab_6390,neg_1038,neg,45280,63490,41390,66140,43220,77660,73290,98970,103500,37990,54060,76350,,,,
"PE(22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S)/22:1(13Z))",-,0.144,0.2619,0.8364,0.8219,0.8784,-0.1871,no,down,-,-,-,-,-,-,-,HMDB0283887,"Not Available","Not Available","Not Available",-,876.57649411,7.48398333333,"M-H, M+Na-2H, M+FA-H",C49H84NO10P,0,58,metab_8362,neg_38,neg,4638000,3344000,2691000,3470000,3598000,3406000,3791000,3866000,4563000,3663000,3742000,4452000,,,,
LysoPC(17:0/0:0),-,0.2003,0.343,0.8354,0.7451,0.7466,-0.4216,no,down,C04230,Lipids,Phospholipids,map00564;map05231,"Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Human Diseases","Lipid metabolism;Cancer: overview",HMDB0012108,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,50930-23-9,510.354535675,7.44245,M+H,C25H52NO7P,0,91.3,metab_2226,pos_3149,pos,10590000,5617000,9119000,5237000,4334000,4136000,5944000,9929000,8927000,13540000,8183000,5758000,,,,
"Ethyl octanoate",-,0.1871,0.3152,0.8315,0.7471,1.2198,0.2866,no,up,C12292,-,-,-,-,-,-,HMDB0040195;LMFA07010447,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",106-32-1,209.094115488,6.70285,M+K-2H,C10H20O2,0,39.7,metab_7064,neg_1650,neg,185500,132700,139800,139400,148400,143100,80150,113600,108400,193100,140300,93430,,,,
"PC(18:0/18:3(9Z,12Z,15Z))",-,0.1567,0.2888,0.8295,0.8112,0.5693,-0.8127,no,down,C00157,Lipids,Phospholipids,map01100;map00564;map00590;map00591;map00592;map05231;map04723,"Metabolic pathways;Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Choline metabolism in cancer;Retrograde endocannabinoid signaling","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Lipid metabolism;Lipid metabolism;Lipid metabolism;Cancer: overview;Nervous system",LMGP01011589;PW_C004090;HMDB0008041,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,806.567545116,6.24801666667,"M+H, M+2Na-H, M+Na",C44H82NO8P,0,89.4,metab_364,pos_133,pos,86090000,81130000,60280000,67040000,82650000,81910000,103900000,148400000,167800000,58920000,48740000,278700000,,,,
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))",-,0.1826,0.3212,0.8292,0.7227,1.463,0.5489,no,up,C00157,Lipids,Phospholipids,map01100;map00564;map00590;map00591;map00592;map05231;map04723,"Metabolic pathways;Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Choline metabolism in cancer;Retrograde endocannabinoid signaling","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Lipid metabolism;Lipid metabolism;Lipid metabolism;Cancer: overview;Nervous system",PW_C004741;HMDB0008693,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,828.550178133,6.89368333333,M+Na,C46H80NO8P,0,92.6,metab_1891,pos_2800,pos,5469000,35120000,29520000,27240000,41040000,29030000,18910000,19030000,18710000,4843000,32820000,20130000,,,,
"PA(5-iso PGF2VI/P-16:0)",-,0.169,0.3037,0.8245,0.8901,0.2145,-2.221,no,down,-,-,-,-,-,-,-,HMDB0266736,"Not Available","Not Available","Not Available",-,716.460073937,6.12123333333,2M+3H2O+2H,C37H67O10P,0,63.2,metab_1266,pos_2170,pos,9449,20460,24590,28430,9220,12800,83870,10540,32010,55940,32830,273900,,,,
Retaspimycin,ÈðËûÃ¹ËØ,0.1621,0.2847,0.8228,0.816,1.2625,0.3363,no,up,-,-,-,-,-,-,-,HMDB0257169,"Phenylpropanoids and polyketides",Macrolactams,"Not Available",-,586.315170155,6.39361666667,M-H,C31H45N3O8,0,68.2,metab_7166,neg_1743,neg,156200,94130,116700,146900,120700,117200,72800,122100,76980,151200,112600,59920,,,,
"P-Tolyl Sulfate",-,0.1746,0.2993,0.8144,0.8502,1.4711,0.5569,no,up,-,-,-,-,-,-,-,-,-,-,-,-,187.006234641,4.7436,M-H,C7H8O4S,35.8,0,metab_7431,neg_1986,neg,4709000,6724000,5286000,2746000,6191000,9174000,2355000,1794000,8059000,3106000,3720000,4645000,,,,
Sweroside,µ±Ò©¿àÜÕ,0.1906,0.331,0.8144,0.8421,0.4956,-1.0128,no,down,C17071,-,-,-,-,-,-,HMDB0258643;MJDBOTE0001224,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",14215-86-2,359.130331298,3.22081666667,M+H,C16H22O9,0,31.9,metab_785,pos_1730,pos,94750,256200,661000,2665,116700,129700,217600,48250,811500,566700,277400,622900,,,,
PC(24:1(15Z)/16:0),-,0.2044,0.3479,0.8143,0.7218,0.5113,-0.9678,no,down,C00157,Lipids,Phospholipids,map01100;map00564;map00590;map00591;map00592;map05231;map04723,"Metabolic pathways;Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Choline metabolism in cancer;Retrograde endocannabinoid signaling","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Lipid metabolism;Lipid metabolism;Lipid metabolism;Cancer: overview;Nervous system",PW_C004839;HMDB0008791,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,826.663329315,7.33083333333,M+H-H2O,C48H94NO8P,0,69.6,metab_2906,pos_3866,pos,42200,5655,26330,23390,19100,27160,15840,50000,111600,64140,11680,28010,,,,
PG(PGJ2/a-21:0),-,0.1868,0.3265,0.8128,0.793,0.3495,-1.5166,no,down,-,-,-,-,-,-,-,HMDB0270874,"Not Available","Not Available","Not Available",-,888.596805604,6.80583333333,"M+NH4, M+ACN+H",C47H83O12P,0,36.1,metab_5690,pos_656,pos,23570,31060,87650,27530,33100,52950,32580,63750,306200,64090,8776,256500,,,,
Oxindole,2-ßÅßáÍª,0.1396,0.266,0.8105,1.0446,1.3829,0.4677,no,up,C12312,-,-,-,-,-,-,HMDB0244886;HMDB0061918,"Organoheterocyclic compounds","Indoles and derivatives",Hydroxyindoles,59-48-3,134.059927403,3.40471666667,M+H,C8H7NO,77.8,0,metab_4889,pos_5804,pos,138700,113900,166900,68310,94450,76770,80530,78210,128700,72770,56790,59360,,,,
"P-Coumaric Acid",-,0.19,0.3301,0.8105,0.808,0.8168,-0.2919,no,down,C00811,-,-,map01100;map00130;map00350,"Metabolic pathways;Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism",Metabolism;Metabolism;Metabolism,"Global and overview maps;Metabolism of cofactors and vitamins;Amino acid metabolism",HMDB0003654;HMDB0002035;HMDB0030677;MJDBOTE0000719,"Phenylpropanoids and polyketides","Cinnamyl alcohols","Not Available",20649-40-5;7400-08-0;501-98-4;4501-31-9;501-98-4,182.080971131,0.806533333333,"M+H, M+NH4",C9H8O3,41.8,0,metab_6342,pos_282,pos,2300000,2670000,1827000,2248000,1991000,2582000,3231000,2097000,2945000,3682000,3152000,1567000,,,,
"PA(22:5(7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,16Z))",PA£¨22:5£¨7Z£¬10Z£¬13Z£¬16Z£¬19Z£©/22:5£¨4Z£¬7Z£¬10Z£¬13Z£¬16Z£©£©,0.1859,0.3252,0.8104,1.0085,1.9249,0.9448,no,up,C00416,Lipids,Phospholipids,map01100;map00564;map04070;map00561;map05212;map05200;map04975;map04024;map04072;map04912;map05231;map04666,"Metabolic pathways;Glycerophospholipid metabolism;Phosphatidylinositol signaling system;Glycerolipid metabolism;Pancreatic cancer;Pathways in cancer;Fat digestion and absorption;cAMP signaling pathway;Phospholipase D signaling pathway;GnRH signaling pathway;Choline metabolism in cancer;Fc gamma R-mediated phagocytosis","Metabolism;Metabolism;Environmental Information Processing;Metabolism;Human Diseases;Human Diseases;Organismal Systems;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Signal transduction;Lipid metabolism;Cancer: specific types;Cancer: overview;Digestive system;Signal transduction;Signal transduction;Endocrine system;Cancer: overview;Immune system",HMDB0115396;PW_C062822,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphates,-,814.537164475,7.1632,M+NH4,C47H73O8P,0,30.4,metab_3010,pos_3973,pos,31980,35500,85050,29150,13400,115300,31530,26300,29700,21720,15960,36040,,,,
"3,4-Dihydro-9-hydroxy-[1]benzothieno[2,3-f]-1,4-thiazepin-5(2H)-one","3,4-¶þÇâ-9-ôÇ»ù-[1]±½²¢àç·Ô²¢[2,3-f]-1,4-ÁòµªÔÓ-5£¨2H£©-Íª",0.1802,0.3064,0.81,0.8544,1.4972,0.5823,no,up,-,-,-,-,-,-,-,HMDB0253770,"Organoheterocyclic compounds",Benzothiophenes,1-benzothiophenes,-,271.984361557,4.7436,M+Na-2H,C11H9NO2S2,0,39.8,metab_7430,neg_1985,neg,134600,189500,151800,67610,169700,244600,58370,41450,230000,76940,103500,129100,,,,
"PE(18:0/20:4(8Z,11Z,14Z,17Z))",-,0.1582,0.29,0.8019,1.1589,0.8268,-0.2744,no,down,C00350,Lipids,Phospholipids,map01100;map00564;map00563;map04136;map05167;map04723;map04140,"Metabolic pathways;Glycerophospholipid metabolism;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Autophagy - other;Kaposi sarcoma-associated herpesvirus infection;Retrograde endocannabinoid signaling;Autophagy - animal","Metabolism;Metabolism;Metabolism;Cellular Processes;Human Diseases;Organismal Systems;Cellular Processes","Global and overview maps;Lipid metabolism;Glycan biosynthesis and metabolism;Transport and catabolism;Infectious disease: viral;Nervous system;Transport and catabolism",HMDB0009004;PW_C005052,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,768.553255402,7.53776666667,M+H,C43H78NO8P,0,72.2,metab_2788,pos_3748,pos,5858000,5267000,3651000,4411000,4021000,3623000,5299000,6589000,3693000,4565000,6821000,5490000,,,,
Rhamnose,ÊóÀîÌÇ,0.1774,0.3026,0.799,0.7987,0.9054,-0.1434,no,down,C00507,Carbohydrates,Monosaccharides,map01100;map00051,"Metabolic pathways;Fructose and mannose metabolism",Metabolism;Metabolism,"Global and overview maps;Carbohydrate metabolism",HMDB0000849;MJDBOTE0001343,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",3615-41-6,163.060233621,0.266333333333,M-H,C6H12O5,79.4,0,metab_8224,neg_2724,neg,116400,113200,114300,112400,121900,128400,124400,111000,121100,126400,131500,165300,,,,
Acetylglycine,N-ÒÒõ£¸Ê°±Ëá,0.1451,0.2635,0.7983,0.7936,0.8691,-0.2024,no,down,-,-,-,-,-,-,-,HMDB0000532,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",543-24-8,116.034263074,0.761133333333,M-H,C4H7NO3,49,0,metab_7725,neg_2258,neg,360400,309000,370400,270600,375200,394000,395300,315400,425100,487600,435800,333600,,,,
"PE(22:2(13Z,16Z)/PGD2)",-,0.1799,0.3176,0.7967,0.7134,0.7061,-0.5021,no,down,-,-,-,-,-,-,-,HMDB0283948,"Not Available","Not Available","Not Available",-,909.604367062,6.63835,M+ACN+H,C47H82NO11P,0,31.5,metab_1681,pos_2579,pos,46050,122100,259000,220900,236100,171300,275500,367500,159000,278600,113800,300100,,,,
"8,8-Diethoxy-2,6-dimethyl-2-octanol","8£¬8 -¶þÒÒÑõ»ù- 2£¬6 -¶þ¼×»ù- 2 -ÐÁ´¼",0.1888,0.3289,0.7966,0.8365,1.669,0.739,no,up,-,-,-,-,-,-,-,HMDB0034557,"Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols",7779-94-4,310.234693882,6.19298333333,M+ACN+Na,C14H30O3,0,79.6,metab_4136,pos_5101,pos,85860,160100,180000,188800,323600,217200,97960,87730,50170,76510,331900,48010,,,,
"1,11-Undecanedicarboxylic acid","1£¬11 -Ê®Ò»Íé¶þôÈËá",0.1994,0.3288,0.7942,0.7756,0.676,-0.5649,no,down,-,-,-,-,-,-,-,HMDB0002327,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",505-52-2,265.14418369,6.20003333333,"M-H, M+Na-2H",C13H24O4,0,42.8,metab_7881,neg_241,neg,64300,73560,52450,38320,76950,64290,135200,80570,75640,51590,41210,163000,,,,
"Nonactinic Acid",·Ç¹â»¯ÐÔµÄËá,0.1679,0.2913,0.7932,0.9523,0.7643,-0.3878,no,down,-,-,-,-,-,-,-,-,-,-,-,-,201.112495412,5.02508333333,M-H,C10H18O4,47.5,0,metab_7410,neg_1967,neg,293200,163800,266600,122000,154200,233600,348600,178100,287700,266500,177300,355900,,,,
"Dodecylbenzenesulfonic Acid",±íÃæ»îÐÔ¼ÁD,0.1821,0.3086,0.7932,0.7345,1.2571,0.3301,no,up,-,-,-,-,-,-,-,HMDB0059915;HMDB0031031,Benzenoids,"Benzene and substituted derivatives","Benzenesulfonic acids and derivatives",-,325.183957866,6.57505,M-H,C18H30O3S,69.6,0,metab_7120,neg_1701,neg,94760,92300,45310,93980,81340,52620,62200,46450,73210,82110,56000,46190,,,,
"4-hydroxy Nonenal",-,0.165,0.2989,0.7922,0.8165,1.1185,0.1616,no,up,-,-,-,-,-,-,-,-,-,-,-,-,139.111511793,7.44245,"M+H-2H2O, M+H-H2O, M+H",C9H16O2,49.2,0,metab_6299,pos_97,pos,850000,670700,644800,692400,710100,692200,607400,573900,548800,825900,631100,621500,,,,
"2,2'-Anhydrocytidine","2£¬2 ' -ÍÑË®°ûÜÕ",0.2042,0.3477,0.7905,0.7017,0.6898,-0.5357,no,down,-,-,-,-,-,-,-,HMDB0243629,"Organic oxygen compounds","Organooxygen compounds",Ethers,-,248.063737993,0.704516666667,"M+Na, M+K, M+H",C9H11N3O4,0,42.7,metab_828,pos_177,pos,800200,780200,1783000,361300,718100,1252000,1053000,1032000,2520000,1480000,1034000,1138000,,,,
"Pipecolic Acid",ßß¿ÉËá,0.1641,0.2975,0.7903,0.8008,1.1138,0.1555,no,up,C00408,-,-,map01100;map00310,"Metabolic pathways;Lysine degradation",Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism",HMDB0000716;HMDB0000070;MJDBOTE0000664,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",535-75-1;3105-95-1,130.086199224,0.71195,M+H,C6H11NO2,58.5,0,metab_5401,pos_6290,pos,1218000,1498000,1317000,1640000,1285000,1379000,1200000,1018000,1531000,1276000,1301000,1162000,,,,
PE(16:0/18:1(11Z)),-,0.1638,0.2863,0.7898,1.0236,0.784,-0.3511,no,down,C00350,Lipids,Phospholipids,map01100;map00564;map00563;map04136;map05167;map04723;map04140,"Metabolic pathways;Glycerophospholipid metabolism;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Autophagy - other;Kaposi sarcoma-associated herpesvirus infection;Retrograde endocannabinoid signaling;Autophagy - animal","Metabolism;Metabolism;Metabolism;Cellular Processes;Human Diseases;Organismal Systems;Cellular Processes","Global and overview maps;Lipid metabolism;Glycan biosynthesis and metabolism;Transport and catabolism;Infectious disease: viral;Nervous system;Transport and catabolism",PW_C004974;HMDB0008926;LMGP02010010,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,738.508343456,6.68715,M+Na-2H,C39H76NO8P,0,67.9,metab_7075,neg_1660,neg,11150000,7449000,5880000,7652000,5673000,5041000,8233000,12350000,6374000,9350000,11170000,7170000,,,,
"1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene","1-Ïõ»ù-5-ôÇ»ù-6-¹Èë×¸ÊëÄ-5,6-¶þÇâÝÁ",0.191,0.3312,0.7894,0.7677,0.5385,-0.893,no,down,C14805,-,-,map00980,"Metabolism of xenobiotics by cytochrome P450",Metabolism,"Xenobiotics biodegradation and metabolism",HMDB0060327,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,497.13270938,4.159,M+H,C20H24N4O9S,0,60.7,metab_875,pos_1811,pos,183600,66770,207200,21010,132600,110400,225600,178800,502300,96850,56160,280500,,,,
"PE-NMe2(15:0/20:3(8Z,11Z,14Z))",-,0.1767,0.3018,0.7891,0.7586,1.1766,0.2346,no,up,C04308,-,-,map01100;map00564,"Metabolic pathways;Glycerophospholipid metabolism",Metabolism;Metabolism,"Global and overview maps;Lipid metabolism",HMDB0113927;PW_C059943,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,800.545282084,7.49183333333,M+FA-H,C42H78NO8P,0,77.6,metab_6918,neg_1517,neg,3817000,2981000,2365000,4070000,4076000,3799000,2511000,2359000,3773000,3211000,3390000,2694000,,,,
PE(PGJ2/22:0),-,0.1752,0.3117,0.7846,1.1172,1.4682,0.554,no,up,-,-,-,-,-,-,-,HMDB0283747,"Not Available","Not Available","Not Available",-,876.568061959,7.65663333333,M+Na,C47H84NO10P,0,58.9,metab_2329,pos_3266,pos,5950000,6720000,4556000,5279000,1005000,6936000,4821000,3119000,3331000,5214000,728100,3526000,,,,
Lysyl-Glycine,Àµ°±õ£-¸Ê°±Ëá,0.2181,0.3651,0.7818,0.8552,0.7739,-0.3698,no,down,-,-,-,-,-,-,-,HMDB0028951;HMDB0304784,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",7563-03-3,245.160309614,1.90388333333,M+ACN+H,C8H17N3O3,0,35.9,metab_623,pos_1582,pos,140900,176100,252600,116900,111200,151000,207100,106000,307400,241700,165300,198400,,,,
"Smilanippin A",³¤Ò¶Å£Î²²Ë½ä,0.2122,0.3584,0.7787,0.7139,1.5909,0.6698,no,up,-,-,-,-,-,-,-,HMDB0041354,"Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides",166736-13-6,788.455491517,6.9337,M+ACN+Na,C39H64O12,0,36.9,metab_1922,pos_2831,pos,109200,178.1,56830,52960,119000,104000,19200,66190,44160,46120,58440,43780,,,,
LysoPA(16:0/0:0),-,0.2217,0.3544,0.7772,0.7419,1.906,0.9305,no,up,C04036,-,-,-,-,-,-,HMDB0007853,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphates,-,391.225130133,6.92971666667,M-H2O-H,C19H39O7P,0,62.9,metab_6571,neg_1203,neg,340200,365500,448900,230200,539300,496800,26740,25070,126300,870400,73950,148100,,,,
Deoxyloganin,-,0.2053,0.3491,0.7755,0.9306,0.4975,-1.0072,no,down,C06071,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",LMPR0102070005;HMDB0251007,"Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides",26660-57-1,357.151128378,4.44733333333,M+H-H2O,C17H26O9,0,60,metab_888,pos_1823,pos,46170,74300,213700,6570,43400,52840,88970,15940,244600,157800,69000,301800,,,,
Mevastatin,ÃÀ·¥ËûÍ¡,0.1902,0.3192,0.7743,0.7567,0.6852,-0.5454,no,down,C13963,-,-,-,-,-,-,HMDB0254692;MJDBOTE0001563,"Organoheterocyclic compounds",Lactones,"Delta valerolactones",73573-88-3,411.214994325,6.37583333333,M+Na-2H,C23H34O5,0,63.3,metab_6410,neg_1056,neg,53710,47380,43410,59550,38980,52580,52220,32400,53490,135600,70540,87180,,,,
"PE(PGD2/18:2(9Z,12Z))",-,0.1661,0.3003,0.7709,0.746,0.4665,-1.1001,no,down,-,-,-,-,-,-,-,HMDB0261429,"Not Available","Not Available","Not Available",-,875.512218582,7.21893333333,M+ACN+Na,C43H74NO11P,0,52.6,metab_2129,pos_3049,pos,30740,103300,20920,17460,17920,18840,26330,94100,85390,26990,45830,169700,,,,
Cortolone,Æ¤ÍªËÄ´¼,0.2064,0.3373,0.7701,0.7632,0.654,-0.6126,no,down,C05481,-,-,map00140,"Steroid hormone biosynthesis",Metabolism,"Lipid metabolism",HMDB0003128;LMST02030227,"Lipids and lipid-like molecules","Steroids and steroid derivatives",Hydroxysteroids,516-42-7,387.214904136,6.39361666667,M+Na-2H,C21H34O5,0,58.9,metab_6412,neg_1058,neg,277400,406800,416100,566200,338500,399300,625100,223600,490100,1128000,300000,909400,,,,
LysoPE(0:0/16:0),-,0.1795,0.3172,0.7694,0.7536,1.4163,0.5021,no,up,-,-,-,-,-,-,-,HMDB0011473,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,476.274196396,6.77386666667,M+Na,C21H44NO7P,0,84.4,metab_3385,pos_4367,pos,350500,259900,214500,251000,243200,209500,185800,82630,105300,361500,257000,87440,,,,
N-Isobutyryl-L-cysteine,"N -Òì¶¡õ£»ù- L -°ëë×°±Ëá",0.2072,0.3517,0.7668,0.7202,0.6734,-0.5705,no,down,-,-,-,-,-,-,-,HMDB0255162,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,174.058164039,2.80135,M+H-H2O,C7H13NO3S,0,33.5,metab_4993,pos_5902,pos,157800,90380,277800,31120,71130,257200,150500,302600,334600,143400,199600,184600,,,,
7-O-Acetylaustroinulin,"7 - O -ÒÒõ£¸²Åè×ÓËØ",0.1838,0.3226,0.7654,0.7153,0.6525,-0.616,no,down,-,-,-,-,-,-,-,HMDB0036804,"Lipids and lipid-like molecules","Prenol lipids",Diterpenoids,-,382.294286231,6.24801666667,"M+NH4, 2M+ACN+Na",C22H36O4,0,42,metab_4112,pos_508,pos,194300,288300,543200,104500,502600,299400,197000,408200,615800,317400,563700,858700,,,,
Acetylcysteine,ÒÒõ£°ëë×°±Ëá,0.2338,0.3819,0.7636,0.7731,0.6973,-0.5201,no,down,C06809,-,-,-,-,-,-,HMDB0001890;HMDB0000574;MJDBOTE0001037,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",616-91-1;52-90-4,164.037358044,3.62498333333,M+H,C5H9NO3S,64.8,0,metab_6334,pos_5783,pos,22100,9116,38360,6411,11770,17970,22610,14420,41020,26170,20420,26980,,,,
"4-Vinylphenol sulfate","4 -ÒÒÏ©»ù±½·ÓÁòËáÑÎ",0.2154,0.3476,0.759,0.87,0.3418,-1.5488,no,down,-,-,-,-,-,-,-,HMDB0062775,"Organic acids and derivatives","Organic sulfuric acids and derivatives",Arylsulfates,131351-90-1,245.011994946,4.32715,M+FA-H,C8H8O4S,0,74.7,metab_8847,neg_832,neg,6445,1250,50320,12850,1310,34060,43620,10350,92510,16220,1206,147000,,,,
LysoPC(18:0/0:0),-,0.2018,0.3317,0.7569,1.0397,1.1597,0.2138,no,up,C04317;C04230,-;Lipids,-;Phospholipids,map00565;map01100;map05231;map00564,"Ether lipid metabolism;Metabolic pathways;Choline metabolism in cancer;Glycerophospholipid metabolism","Metabolism;Metabolism;Human Diseases;Metabolism","Lipid metabolism;Global and overview maps;Cancer: overview;Lipid metabolism",HMDB0011149;HMDB0010384,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,74430-89-0;19420-57-6,568.361808376,7.51535,M+FA-H,C26H54NO7P,0,87.8,metab_9041,neg_1510,neg,29080000,29870000,40900000,27910000,24700000,27090000,24580000,25380000,26230000,34660000,20920000,23010000,,,,
Pro-leu,¸¬°±Ëá-ÁÁ°±Ëá,0.237,0.3859,0.7568,0.9247,0.8486,-0.2368,no,down,-,-,-,-,-,-,-,HMDB0253028,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,229.154265287,2.0399,"M+H-H2O, M+H",C11H20N2O3,0,30.9,metab_2245,pos_317,pos,1503000,1358000,2050000,1084000,1106000,1343000,1749000,1207000,2129000,1811000,1335000,1714000,,,,
Clarithromycin,¿ËÀ­Ã¹ËØ,0.1893,0.3293,0.7551,0.7337,0.769,-0.3789,no,down,C06912,-,-,-,-,-,-,PW_C009624;HMDB0015342;LMPK04000014;MJDBOTE0001505,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",81103-11-9,789.515153162,6.29546666667,M+ACN+H,C38H69NO13,0,31.7,metab_1428,pos_2343,pos,338600,101500,165000,335400,389100,325600,406600,277500,235300,462500,363400,407300,,,,
Lysylglutamine,Àµ°±õ£¹È°±õ£°·,0.2267,0.3751,0.7527,0.8307,0.5831,-0.7782,no,down,-,-,-,-,-,-,-,HMDB0028949,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",92352-82-4,319.137954726,3.2365,M+2Na-H,C11H22N4O4,0,48.6,metab_4914,pos_5829,pos,16870,80600,173400,12270,57160,47970,72120,13500,183800,147900,84290,164400,,,,
"MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)",-,0.2172,0.3644,0.7514,0.9176,1.2321,0.3011,no,up,-,-,-,-,-,-,-,HMDB0011580,"Lipids and lipid-like molecules",Glycerolipids,Monoradylglycerols,-,394.294608345,6.26395,M+NH4,C23H36O4,0,73.8,metab_1394,pos_2308,pos,1631000,1670000,1898000,1651000,1960000,1700000,951500,1750000,1921000,932200,2107000,871300,,,,
"Allyl nonanoate",-,0.2554,0.4077,0.7497,1.0035,0.7659,-0.3848,no,down,-,-,-,-,-,-,-,HMDB0029763;LMFA07010778,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",7493-72-3,414.357293628,6.48976666667,2M+NH4,C12H22O2,0,31,metab_3734,pos_4711,pos,71500,42190,105800,66850,64560,62710,56060,149400,97400,100700,89520,46850,,,,
